───────────────────────────────────────────────────────────────────────────────
Language            Files       Lines    Blanks  Comments       Code Complexity
~les\minimatch\minimatch.js       947       149       227        571        123
~les\minimatch\minimatch.js       947       149       227        571        123
~les\minimatch\minimatch.js       947       149       227        571        123
~les\minimatch\minimatch.js       947       149       227        571        123
~les\minimatch\minimatch.js       947       149       227        571        123
~les\espree\dist\espree.cjs       940       156       265        519        120
~st-uri\test\uri-js.test.js       912       117        86        709         13
~s\chardet\encoding\sbcs.js       907        82        37        788         29
~gin-kit\dist\cjs\index.cjs       884       115       380        389         44
~ugin-kit\dist\esm\index.js       879       114       381        384         44
~s\no-restricted-imports.js       850        65        87        698         54
~yaml\lib\js-yaml\dumper.js       850        46        65        739         98
~-instrument\src\visitor.js       843        51        78        714         73
~-instrument\src\visitor.js       843        51        78        714         73
~lor-convert\conversions.js       839       169        25        645         79
~ysis\code-path-analyzer.js       828       111       225        492         75
~t\lib\rules\key-spacing.js       822        69       159        594         58
~ib\config\config-loader.js       816       126       321        369         43
~s\estraverse\estraverse.js       805       107        68        630        117
~f-sequences\build\index.js       798        57       201        540         75
~-resolve\build\resolver.js       796        17        59        720        105
~arse\lib\help\formatter.js       795       113       190        492        104
~\eslint-scope\lib\scope.js       793       123       224        446         77
node_modules\glob\glob.js         790       140       102        548        156
~ib\eslint\legacy-eslint.js       786        78       237        471         87
~l\generator\lib\printer.js       780         2         1        777        299
~les\jest-cli\build\args.js       731         4         7        720         14
~olve\test\resolver_sync.js       730       105         2        623         35
~b\generators\typescript.js       725         2         1        722         82
~-code\token-store\index.js       721        48       272        401         26
~slint\lib\rules\one-var.js       717        62       112        543         74
~les\prelude-ls\lib\List.js       716         0         1        715        114
~nt-scope\lib\referencer.js       708       139        82        487         69
~b\rules\keyword-spacing.js       701        79       194        428         39
~s\@humanfs\core\src\hfs.js       699        75       334        290         23
~t\compile\codegen\index.js       697         0        35        662         89
~b\generators\typescript.js       692         2         1        689         54
~al-assignment-operators.js       688        69       111        508         33
~l\generator\lib\printer.js       677         2         1        674        262
~slint\lib\config\config.js       674       109       190        375         67
~tor\lib\generators\flow.js       669         2         1        666         85
~\@jest\core\build\watch.js       666         5        28        633         63
~tor\lib\generators\flow.js       658         2         1        655         83
~s\no-useless-assignment.js       654        66       198        390         44
~multiline-comment-style.js       652        67        86        499         39
~\rules\object-shorthand.js       652        63       119        470         53
~de_modules\ignore\index.js       636       103       188        345         31
~int\lib\rules\no-shadow.js       624        77       142        405         50
~l\testing\TestScheduler.js       618         0         1        617         94
~e_modules\ajv\dist\core.js       618         0        19        599        167
~rse\lib\path\conversion.js       614         2         1        611        129
~line-between-statements.js       612        59       191        362         22
~ode_modules\tmp\lib\tmp.js       611        88       230        293         70
~r\typebox\errors\errors.js       609         0        48        561        141
~\lib\linter\file-report.js       608        73       211        324         41
~s\prefer-regex-literals.js       605        59        91        455         30
~stant-binary-expression.js       603        36       166        401         54
~f\build\cleanupSemantic.js       599        19       156        424        106
~nfig\flat-config-schema.js       598        78       185        335         53
~s\resolve\test\resolver.js       597        99         3        495         55
~leading-character-class.js       595        71        94        430         62
~match\dist\commonjs\ast.js       592         0       147        445        130
~st-snapshot\build\index.js       591        11        30        550         76
~helpers\dist\cjs\index.cjs       588        98       182        308         62
~\minimatch\dist\esm\ast.js       588         0       147        441        130
~-helpers\dist\esm\index.js       586        97       183        306         62
node_modules\bser\index.js        586        54        53        479         73
~pply-disable-directives.js       584        61       173        350         36
~\@babel\types\lib\index.js       584         2         1        581         41
~er\src\ml_parser\parser.js       584         0        65        519        132
~s\yargs\build\lib\usage.js       584         0         0        584        112
~es\lines-around-comment.js       581        57       127        397         37
~pebox\compiler\compiler.js       577         0        39        538         12
~_modules\js-md4\src\md4.js       574        27       161        386         68
~destructuring\lib\index.js       571         5         1        565        157
~l\testing\TestScheduler.js       569         0         1        568         63
~port\source-map-support.js       567        58        46        463         65
~\build\CoverageReporter.js       561         9        20        532         65
~e_modules\ignore\legacy.js       559        38       185        336         82
~\dist\trace-mapping.umd.js       559        13        18        528        122
~es\semver\classes\range.js       557        66        74        417        110
~te\encodings\dbcs-codec.js       555        89        72        394        127
~es\semver\classes\range.js       554        65        74        415        110
~es\semver\classes\range.js       554        65        74        415        110
~_modules\eslint\lib\cli.js       553        82        85        386         63
~\lib\rules\prefer-const.js       546        75       143        328         57
~\build\legacyFakeTimers.js       545        10        32        503         49
~es\object-inspect\index.js       544        27         4        513        101
~tcher-utils\build\index.js       542        15        48        479         53
~-engine\file-enumerator.js       541        63       200        278         34
~ules\eslint\lib\options.js       536        34        73        429         15
~s\preserve-caught-error.js       535        53       138        344         31
~ng-config-array-factory.js       534        67       168        299         24
~_modules\emittery\index.js       531       108         4        419         85
~\definitions\typescript.js       529         2         1        526          4
~\compile\validate\index.js       520         0         8        512        137
~ules\commander\lib\help.js       520        54       166        300         50
~rm-typescript\lib\index.js       518         2         1        515        153
~essage-util\build\index.js       518         9        40        469         81
~-rest-client\HttpClient.js       515         0        46        469        130
~nfig-array\config-array.js       512        64       205        243         56
~jest-circus\build\utils.js       511         8        28        475         72
~ode_modules\ajv\lib\ajv.js       506        80        81        345        108
~ode_modules\ajv\lib\ajv.js       506        80        81        345        108
